Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7009,September,%,9.525865,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7010,October,%,10.396873,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7011,November,%,10.080319,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7012,December,%,9.862663,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7012,December,%,8.47754,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7011,November,%,8.627921,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7010,October,%,8.876501,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7009,September,%,9.232032,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7008,August,%,10.453781,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7007,July,%,11.414533,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7006,June,%,12.800473,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7005,May,%,13.521891,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7004,April,%,13.997196,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7003,March,%,13.489094,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7002,February,%,12.490637,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23014,Food price inflation,7001,January,%,11.093308,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,86.97292,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,86.20563,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,85.72559,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,84.85165,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,84.73305,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,84.72448,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,85.00497,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,84.97092,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,84.70825,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,83.90285,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,82.95721,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,81.77144,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7012,December,,88.52168,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7011,November,,87.71474,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7010,October,,87.24353,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7009,September,,86.74911,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7008,August,,86.44656,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7007,July,,86.23961,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7006,June,,86.21386,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7005,May,,85.9902,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7004,April,,85.67327,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7003,March,,85.20461,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7002,February,,84.80601,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2013,2013,23012,"Consumer Prices, General Indices (2015 = 100)",7001,January,,84.30022,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7001,January,,89.00845,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7002,February,,89.62258,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7003,March,,90.44715,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7004,April,,91.05317,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7005,May,,91.47195,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7006,June,,91.83783,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7007,July,,91.84711,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7008,August,,92.07681,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7009,September,,92.60162,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7010,October,,92.99047,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7011,November,,93.4647,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23012,"Consumer Prices, General Indices (2015 = 100)",7012,December,,94.19368,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,87.70346,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,88.19454,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,89.88786,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,90.95751,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,91.48512,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,91.38456,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,91.24747,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,91.11061,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,91.8213,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,92.24362,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,92.95387,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,93.95769,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7001,January,%,7.254391,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7002,February,%,6.313291,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7003,March,%,7.133262,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7004,April,%,7.377392,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7005,May,%,7.666388,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7006,June,%,7.504961,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7007,July,%,7.699062,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7008,August,%,7.52665,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7009,September,%,8.213924,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7010,October,%,7.603366,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7011,November,%,7.828073,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2014,2014,23014,Food price inflation,7012,December,%,8.030971,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7012,December,%,12.008075,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7011,November,%,11.544468,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7010,October,%,10.383352,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7009,September,%,10.043639,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7008,August,%,10.636401,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7007,July,%,10.481639,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7006,June,%,9.603526,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7005,May,%,8.797671,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7004,April,%,7.949855,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7003,March,%,8.184921,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2015,2015,23014,Food price inflation,7002,February,%,8.986838,Fc,Calculated data,
